text	label
Dort ruft eine Frau zu Hamsterkäufen auf. „Bevorratet euch“, sagt sie. Aus „sicherer Quelle“ wisse sie, dass der „Katastrophenschutz“ am Montag alle Aldi-Märkte schließen werde. Das sei den Mitarbeitern mitgeteilt worden.	fake
Märkte öffnen ganz normal. Wir wollen für unsere Kunden da sein und unseren Versorgungsauftrag wahrnehmen.	real
Ausgangssperre ab Montag, den 23.03.2020 für Berlin	fake
Arbeitsverbot ab dem 16.03.-21.03 wegen corona In allen Unternehmen in ganz Deutschland	fake
Zahlreiche Berufe können bzw. müssen weiter ausgeübt werden. Entweder direkt am Arbeitsort oder im Home-Office. 	real
Eine Person mit laufender Nase mit Auswurf, hat keinen Coronavirus, weil diese nicht bei einer Lungenentzündung auftreten würde.	fake
Eine Person mit laufender Nase mit Auswurf: eine Person mit diesem Symptom kann infiziert sein. 	real
Das Coronavirus stirbt bei 26 bis 27 Grad.	fake
Es ist noch nicht klar, ob wärmere Temperaturen den Virus überhaupt etwas anhaben können.	real
Weil das Virus „ziemlich groß “ sei, könnte „jede normale Maske es filtern“. Zudem breite sich das Virus durch das Niesen etwa drei Meter aus.	fake
Virologen erklären immer wieder, dass eine Maske keine Sicherheit bietet. Zudem kann sich das Virus durch Niesen weiter ausbreiten. 	real
Darin ging es um die Einnahme des Wirkstoffes Ibuprofen – diese soll Corona-Symptome verstärkt haben.	fake
Es gibt bisher keine Beweise dafür, dass Ibuprofen das Coronavirus begünstigt oder sogar gefährlicher macht.	real
Alkohol gegen das Coronavirus	fake
Viren, deren Erbgut von einer Fettschicht umhüllt ist, reagieren empfindlich auf fettlösende Substanzen wie Alkohole oder Tenside. Was hiermit allerdings gemeint ist, ist die Desinfektion durch alkoholhaltige Mittel, die zur Reinigung von Flächen oder auch als Handdesinfektionsmittel genutzt werden. 	real
Er spricht von unnötiger Panik und behauptet, das Virus sei nicht neu, neu seien nur die Tests.	fake
zuerst waren schwere Lungenerkrankungen da und dann erst wurde getestet, woher diese kommen – nicht umgekehrt.	real
In einem weiteren Punkt behauptet Wodarg, dass die Krankenhäuser nicht durch neue Krankheitsfälle sondern durch die Panik überlastet seien.	fake
ass die Kliniken zwar unter der Panik mancher Leute leiden, bestätigt SWR-Wissenschaftsredakteurin Simon, trotzdem stufte das Robert-Koch-Institut das Risiko von „mäßig“ auf „hoch“, unter anderem weil verschiedene Kliniken warnende Signale einer Überlastung sendeten.	real
Corona-Maßnahmen sind übertrieben	fake
Viele Leute können sich schnell anstecken. Und so sieht es auch SWR-Wissenschaftsredakteurin Simon, denn die einzige Chance medizinische Versorgung zu gewährleisten, ist, wenn diese Maßnahmen eingehalten werden.	real
Darauf war zu lesen, dass mehrere große Supermarktketten ihre Öffnungszeiten stark einschränken würden.	fake
Eine Freundin von mir ist an der Uniklinik in Wien und die hat mich heute angerufen und die haben halt mal so ein bisschen Forschung betrieben, warum in Italien so viele so heftige Corona-Fälle aufgetreten sind und haben festgestellt, dass die Leute, die mit diesen schweren Symptomen in die Klinik eingeliefert wurden, mehr oder weniger alle daheim Ibuprofen vorher genommen hatten – und haben dann jetzt mal im Labor den Virus und Ibuprofen zusammengebracht. Und da gibt's sehr stichhaltige Hinweise, dass Ibuprofen die Vermehrung des Virus beschleunigt.	fake
Die Weltgesundheitsorganisation (WHO) ließ überprüfen, ob es irgendwelche Zusammenhänge zwischen der Erkrankung und dem Einnehmen des Schmerzmittels Ibuprofen geben könnte. Die WHO-Experten hatten Studien und Ärzte hinzugezogen und seien zu dem Schluss gekommen, dass es über die bekannten Nebenwirkungen hinaus keine Hinweise gebe. „Auf der Basis der heute vorhandenen Informationen rät die WHO nicht von der Einnahme von Ibuprofen ab“, teilte die WHO mit.	real
Ich denke der Corona Virus ist eine Mischung aus biologischer Waffe und Kriegsführung der 4. Generation. [...] Das Ziel ist ganz klar: Die Schwächung wenn nicht sogar die Zerstörung der Wirtschaft der US Feinde	fake
Der Ursprung des Coronavirus SARS-CoV-2 hingegen ist noch nicht geklärt, bei sämtlichen Experten liegt aber der Rückschluss nahe, dass der Erreger ebenfalls von Wildtieren stammt.	real
Hat der Autor des Buches The Eye of Darkness das Coronavirus vorhergesehen?	fake
Es gibt Übereinstimmungen, aber viel mehr Unterschiede zwischen den Texten und der Realität. Beispielsweise befällt das Virus im Roman den Hirnstamm und löst quasi das Gehirn der Erkrankten auf. Das echte Coronavirus hingegen befällt die Atemwege.	real
