sentenceA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	sentenceB                                                                                                                                                                        	label
"Hallo Folgendes Problem, der CPU ist bei 100%. Wo die Auslastung liegt, lässt sich nicht erkennen im Task.
            Spy und Virenprogramm AV lässt sich nicht starten. AVcenter ist keine zulässige win32 anwendung u.s.w.
            Soundkarte gibt keine Musik mehr von sich. Nur die Windows Töne. Treiber lässt sich auch nicht mehr
            installieren. Online Virenscan, wie hier beschrieben, geht nur in Zeitlupe, wegen des CPU. Bisher wurde der
            Beagle Virus gefunden. Tool installiert. Abgesicherter Modus geht aber nicht , trotz mehrerer Versuche. Was
            nun? Vielen Dank für die Antwort schon jetzt!
        "                                                                                                                                                               	"Der Computer ist durch Malware verseucht, der Hauptprozessor komplett beansprucht und es ist nicht möglich
            den Virenscanner zu aktivieren.
        "                	entailment
"Hallo, habe mir ein Asus P5Q geholt und am Anfang lief alles prima. Hab mir direkt ausm Netz von der Asus
            Seite die neusten Chipsatztreiber geholt und installiert. Nach dem reboot sind die USB-Ports wie tot Beim
            hochfahren gehen sie, sprich Hardwaredefekt liegt keiner vor. Sobald der Windowsladebildschirm kommt. Geht
            die Maus aus und nichts geht mehr. Hab dann mit der Tastatur mal im Hardwaremanager geguckt und siehe da bei
            USB-Port-Hub sind überall Ausrufungszeichen. Wenn ich dann von dann die USB Treiber manuell installieren
            will steht nur da. Sie haben WinXP SP2 sie brauchen diese Treiber nicht. System: Asus P5Q E8400 Ati 3850 2
            GB G-Data Vitesta Ram Hoffe jemand kann mir da helfen. Vielen Dank im vorarus!
        "	"Die USB-Anschlüsse funktionieren bei dem neuen Asus P5Q nach der Installation des Chipsatztreibers nicht
            mehr.
        "                                            	entailment
"hallo liebe mods, ich schreibe diesen beitrag extra in die mainboard kategorie, weil heute schon 4 mal beim
            aufrufen des p5q deluxe-sammelthreads mein trendmicro virenscanner angeschlagen hat! er meldete folgen
            virus: TSPY_ONLINEG.FXG laut trendmicro wird versucht, den virus über '' gehackte '' webseiten
            einzuschleusen... nachzulesen hier: (URL) könnt ihr mal der sache auf den grund gehen? viele grüsse t.
        "                                                                                                                                                                                                                                                                                                                                                          	Beim Aufrufen des p5q deluxe Sammelthreads bekomme ich eine Virenmeldung.                                                                                                        	entailment
"Hallo, ich habe Probleme mit dem Trojaner '' TR/Virtumod.WS '' . Antivir gibt mir circa alle 5 Minuten eine
            Trojanerwarnung, in der besagt wird, dass die Datei '' jkkjjgd.dll '' im System32-Ordner der besagte
            Trojaner ist. Löschen etc. hilft nicht. Der Trojaner bewirkt, dass sich ständig PopUps mit dem Internet
            Explorer öffnen, auch wenn die Seiten geblockt werden. Ich hoffe auf baldige Hilfe! MfG derknueppel
        "                                                                                                                                                                                                                                                                                                                                                      	Ein Trojaner kann nicht entfernt werden                                                                                                                                          	entailment
"Hallo, ich habe Probleme mit dem Trojaner '' TR/Virtumod.WS '' . Antivir gibt mir circa alle 5 Minuten eine
            Trojanerwarnung, in der besagt wird, dass die Datei '' jkkjjgd.dll '' im System32-Ordner der besagte
            Trojaner ist. Löschen etc. hilft nicht. Der Trojaner bewirkt, dass sich ständig PopUps mit dem Internet
            Explorer öffnen, auch wenn die Seiten geblockt werden. Ich hoffe auf baldige Hilfe! MfG derknueppel
        "                                                                                                                                                                                                                                                                                                                                                      	Mein Virenprogramm AntiVir meldet immer wieder den gleichen Trojaner.                                                                                                            	entailment
"Hallo, ich habe Probleme mit dem Trojaner '' TR/Virtumod.WS '' . Antivir gibt mir circa alle 5 Minuten eine
            Trojanerwarnung, in der besagt wird, dass die Datei '' jkkjjgd.dll '' im System32-Ordner der besagte
            Trojaner ist. Löschen etc. hilft nicht. Der Trojaner bewirkt, dass sich ständig PopUps mit dem Internet
            Explorer öffnen, auch wenn die Seiten geblockt werden. Ich hoffe auf baldige Hilfe! MfG derknueppel
        "                                                                                                                                                                                                                                                                                                                                                      	Mit Avira lässt sich eine Datei nicht löschen.                                                                                                                                   	entailment
"Hallo PC-Freunde, ich habe letzte Woche XP neu installiert. Heute ist mir aufgefallen das die CPU-Auslastung
            immer zwischen 60% und 80% liegt obwohl im Taskmanager der Lerlaufprozess mit 90-99% angezeigt wird. Kann es
            vieleicht sein das im Taskmanager nicht alle Programme erfasst werden(währe mir neu) oder könnte vieleicht
            ein Virus, Trojaner sein der diese ununterbrochen hohe Auslastung bewirkt? Vobei mein Antivirusprogramm
            (Awast) keinen Virus oder ähnliches erkennt. Kann mir da vieleicht jemand helfen voran das liegen kann. Gruß
            Micha
        "                                                                                                                                                                                           	"Micha möchte wissen, ob ein nicht angezeigtes Programm oder ein Virus/Trojaner Schuld an einer hohen
            CPU-Auslastung bei über 90% Leerlauf sein kann.
        "      	entailment
"hi, wie mir counter spy sagt, habe ich mir anscheinend den virtumonde-virus eingefangen, bringe ihn aber
            damit nicht weg. mein problem äussert sich insofern, dass sich bei allen anwendungen der explorer alle paar
            sekunden aufhängt, alles verschwindet, einen schwarzen bildschirm zurücklässt und ich nur noch in dem
            fenster arbeiten kann, in dem ich mich gerade befinde. auch wenn ich den explorer im taskmanager starte,
            bleibt es nicht lang so.
        "                                                                                                                                                                                                                                                                                                          	Ich kann einen Virus mit dem Namen Virtumonde nicht löschen.                                                                                                                     	entailment
"Wie stelle ich es an dass das Board dauerhaft auf GB Lan schaltet? Ich brauche es zwar nur wenn das NAS läuft
            aber einmal am Tag mache ich das Backup und wenn ich das NAS nach dem PC einschalte,wird max. 100mps
            aktiviert. Unter Eigenschaften der Netzwerkkarte ist '' Auto Negotiation '' eingeschaltet. Oder muß ich da
            im Bios noch was einstellen? Gruß
        "                                                                                                                                                                                                                                                                                                                                                                                                                   	Mein Motherboard soll fortwährend auf GB-LAN eingestellt werden.                                                                                                                 	entailment
"hi, Mein pc ist eigentlich ganz in ordung funkioniert ganz gut auser das wenn ich defragmentieren moechte, er
            immer obstuerzt, und von alleine wider hoch faehrt. Was kann ich tun damit ich defragmentieren kann ohne das
            es bei der haelfte ab stuertzt? und warum stuerzt er immer ab . habe auch schon einene wirenscan
            durchgenomen und er sagt das ich keinen virus oder so was habe. vielen lieben dank schon mal im vorraus
        "                                                                                                                                                                                                                                                                                                                                               	Probleme beim Defragmentieren eines Computers.                                                                                                                                   	entailment
