sentenceA	sentenceB	label
"Hallo, ich habe Probleme mit dem Trojaner '' TR/Virtumod.WS '' . Antivir gibt mir circa alle 5 Minuten eine
            Trojanerwarnung, in der besagt wird, dass die Datei '' jkkjjgd.dll '' im System32-Ordner der besagte
            Trojaner ist. Löschen etc. hilft nicht. Der Trojaner bewirkt, dass sich ständig PopUps mit dem Internet
            Explorer öffnen, auch wenn die Seiten geblockt werden. Ich hoffe auf baldige Hilfe! MfG derknueppel
        "	Mein Hauptprozessor hat nach einer neuen Installation von windows XP eine sehr hohe Auslastung.	contradiction
Das ist es nicht. Aber sie waren dazu bestimmt sich misszuverstehen.	Sie waren dazu bestimmt, sich misszuverstehen.	entailment
Samuel Sheinbein wird eine Mordstrafe in Israel ableisten.	Für den Mord, den er begangen hat, wird Samuel Sheinbein sein Leben hinter Gittern verbringen.	neutral
Wenn es dir danach ist, beweg dich in Richtung Mist Trail, vorbei am Emerald Pool, zum Nevada Fall, und wirst anfangen die Menschenmassen zu verlieren.	Nevada Fall ist ein super Ort, um Menschenmassen zu meiden.	entailment
Steven E. Landsburg zeigte in seinem kürzlich erschienenen Artikel Tax the Knickers Off Your Grandchildren eine ziemlich alarmierende Missachtung des gesunden Menschenverstandes.	Steven E. Landsburg zeigte, dass er den gesunden Menschenverstand missachtet.	entailment
Sie bestand darauf, dass er nach Hause fliegt, bedeutet: Sie wollte, dass er nach Hause fliegt, ob und ob er das tat oder nicht, würde in einem späteren Kapitel enthüllt.	Auch wenn sie ihm gesagt hat, dass er nach Hause fliegen soll, ist es nicht klar, ob er es getan hat oder nicht.	entailment
Der Sommer bringt warmes (aber nicht heißes) Wetter und warme Meerestemperaturen, was es ideal fürs Tauchen, Schnorcheln und anderen Wassersportarten macht.	Es ist immer 100 Grad oder wärmer im Sommer.	contradiction
Feisty kommt genauso wie fizzle vom mittelenglischen Wort fysten, und fisten wurde zu fart.	Fiesty begann als fisten.	entailment
"Hi Leute, Also wenn ich mein Pc starte kommt ganz normal alles wie es komme muss aufeinmal steht dann da.
            American Megatrends (das steht als überschrift da) 3rd Master Hard Disk: S.M.A.R.T. Status Bad, Backup and
            Replace Press F1 to Resume wenn ich dann F1 drücke fährt er sich wie gewohnt rauf zur auswahl der
            Benutzerkonten .. Was bedeutet das ? habe dieses Problem seit ein paar Tagen, liegt es vl dran da ich ein
            bischen an meine Pc gerüttelt habe ? denn irgend ein Kabel streifte irgend einen Ventilator ..
        "	Mein Rechner startet bei der Deframentierung meines Rechners neu.	contradiction
Die Streitigkeiten nahmen den Ton des Klassenkampfes an.	Sie dachten nach wie reich CEO war.	neutral
Er ist jemand, der Blut trinkt.	Er trinkt nur Frauenblut.	neutral
Berühmt für ihre Baumstammroller Wettbewerb im August, die Stadt Squamish liefert eine nützliche Grundlage um Wandertouren im Garibaldi Provincial Park zu machen.	Sqamish hatte nie einen langwierigen Wettbewerb.	contradiction
Unterhalb der Brücken im Hafen befindet sich eine kleine Insel namens Potter's Cay.	Potter's Cay ist nur 3 Quadratmeilen groß.	neutral
"Hi Leute, Also wenn ich mein Pc starte kommt ganz normal alles wie es komme muss aufeinmal steht dann da.
            American Megatrends (das steht als überschrift da) 3rd Master Hard Disk: S.M.A.R.T. Status Bad, Backup and
            Replace Press F1 to Resume wenn ich dann F1 drücke fährt er sich wie gewohnt rauf zur auswahl der
            Benutzerkonten .. Was bedeutet das ? habe dieses Problem seit ein paar Tagen, liegt es vl dran da ich ein
            bischen an meine Pc gerüttelt habe ? denn irgend ein Kabel streifte irgend einen Ventilator ..
        "	Bei der Installation eines neuen BIOS auf meiner Grafikkarte taucht unerwartet eine Schwierigkeit auf.	contradiction
Die Sprachwissenschaftler die Bücher schreiben, scheinen oft Gelehrten zu sein, die für ihre eigene Meinung werben, manche von ihren Meinungen sind recht abstrus.	Die meisten Linguisten schreiben Bücher, um die Meinungen anderer zu evangelisieren.	contradiction
"System Error Fixer bietet ein Spywareprogramm an, es öffnen sich unerwünschte Seiten auf dem Mozilla Firefox
            Browser, z.B. QUELLE.de , aber auch Handy- und sogar Sex-Seiten. Habe diese Probleme seit ca. 2 Wochen;
            gestern große Reinigungsaktion gestartet: 1. Ad-Aware, 2. SpyBot-S & D, 3. Bit-Defender, 4. Stinger, und
            jetzt bin ich beim HiJackThis angekommen. Kann mit den Log-Files nichts anfangen , werde sie versuchen zu
            posten und hoffe sehr auf Hilfe. Danke schon mal im Voraus! Logfile of Trend Micro HijackThis v2.0.2 [edit]
            bitte editiere zukünftig deine links, wie es dir u.a. hier angezeigt wird: Aktive Links und persönliche
            Informationen in HJT Log-Files danke GUA [LinkImg:(URL) [/edit]
        "	Sobald der P5Q Deluxe-Sammelthread gestartet wird, gibt der Virenscanner eine Alarmmeldung.	contradiction
"Hallo, folgende Frage: Kann es passieren, dass ein Trojaner/Virus oder ähnliches Schadprogramm sich heimlich
            aufs Mainboard flasht (also eine veränderte Firmware), und selbst nach OS-Neuinstallation dann wieder das
            System infiziert ? Und falls das passieren kann: Ist es nur von Windows aus möglich (also ein Schadprogramm,
            dass von Windows aus agiert), oder könnte es auch über Ubuntu passieren (falls das Schadprogramm root-Rechte
            erlangt) ? Wenn man zu 100% sicher sein will, muss man dann sein das Mainboard austauschen ?
        "	"Der Hauptprozessor arbeitet im Maximum, die Antirvirenprogramme starten nicht und mein Betriebssystem ist mit
            Viren infiziert.
        "	contradiction
, die Regional Haze RIA und die NOx SIP Call RIA), der niedrigste geschätze gesundheitsschädliche Luftverschmutzungswert liegt bei 15 g/m3	Sie hatten eine grobe Einschätzung der Gewinne, aber diese war wahrscheinlich falsch.	neutral
Mein Traum ist es, dass alle Amerikaner Teil der olympischen Familie werden, deswegen geben Sie bitte so viel wie sie können.	Ich möchte, dass Amerikaner der olympischen Familie beitreten.	entailment
Wir verlassen uns auf dich und andere großzügige Freunde, um die restlichen 38 Prozent zu versorgen.	62 Prozent wurden bereits abgedeckt, und wir hoffen, dass Sie den Rest bereitstellen werden.	entailment
Es wurde viel gemacht Michael Apted einzustellen um der Serie eine menschlichere Note zu geben.	Die Serie galt als kalt und langweilig, also war es wichtig, Michael Apted zu engagieren, um eine warme, persönliche Note hinzuzufügen, um die Bewertungen zu verbessern.	neutral
Für geheime Operationen war das Weiße Haus natürlich auf das Terrorabwehrzentrum und die Einsatzleitung der CIA angewiesen.	Das gegnerische Terroristencenter war in 52 einzelne Operationen in dem Jahr involviert.	neutral
Dennett unterscheidet zwischen Darwinischen Lebewesen, Propperianischen Lebewesen und Gregorianischen Lebewesen.	Dennett unterscheidet Unterschiede zwischen Darwinischen, Pawlowschen, Popperischen und Gregorianischen Lebewesen.	entailment
